Date,Discharge (cfs)
5/2/2014,6.885416667
5/3/2014,8.596041667
5/4/2014,9.035208333
5/5/2014,11.12197917
5/6/2014,7.080631579
5/7/2014,7.09875
5/8/2014,7.394479167
5/9/2014,34.954375
5/10/2014,90.40520833
5/11/2014,15.68020833
5/12/2014,9.592395833
5/13/2014,1016.564896
5/14/2014,998.9270833
5/15/2014,694.4895833
5/16/2014,658.875
5/17/2014,452.7083333
5/18/2014,141.5052083
5/19/2014,67.7875
5/20/2014,42.39583333
5/21/2014,29.31770833
5/22/2014,20.63645833
5/23/2014,15.62604167
5/24/2014,9.831666667
5/25/2014,6.2790625
5/26/2014,501.3295833
5/27/2014,2328.421053
5/28/2014,2814.0625
5/29/2014,2665.416667
5/30/2014,2295.208333
5/31/2014,1835.729167
6/1/2014,1565.3125
6/2/2014,1344.148936
6/3/2014,896.0520833
6/4/2014,378.1354167
6/5/2014,209.1666667
6/6/2014,147.90625
6/7/2014,101.178125
6/8/2014,77.72708333
6/9/2014,110.7747368
6/10/2014,174.25
6/11/2014,204.625
6/12/2014,117.9177083
6/13/2014,70.45520833
6/14/2014,53.34166667
6/15/2014,43.50416667
6/16/2014,34.825
6/17/2014,32.03958333
6/18/2014,32.321875
6/19/2014,75.21979167
6/20/2014,60.646875
6/21/2014,59.278125
6/22/2014,55.4
6/23/2014,34.70416667
6/24/2014,61.078125
6/25/2014,46.303125
6/26/2014,83.84270833
6/27/2014,137.61875
6/28/2014,63.965625
6/29/2014,45.55729167
6/30/2014,29.63958333
7/1/2014,25.8125
7/2/2014,24.42291667
7/3/2014,46.08645833
7/4/2014,81.99895833
7/5/2014,26.61458333
7/6/2014,18.03020833
7/7/2014,21.675
7/8/2014,14.81145833
7/9/2014,11.31458333
7/10/2014,9.31375
7/11/2014,13.92822222
7/12/2014,25.83229167
7/13/2014,12.02395833
7/14/2014,64.453125
7/15/2014,35.91770833
7/16/2014,17.49791667
7/17/2014,44.33020833
7/18/2014,47.00625
7/19/2014,25.82395833
7/20/2014,16.83541667
7/21/2014,17.46354167
7/22/2014,12.571875
7/23/2014,10.79322917
7/24/2014,12.72395833
7/25/2014,15.59895833
7/26/2014,15.253125
7/27/2014,13.48020833
7/28/2014,12.12291667
7/29/2014,15.2209375
7/30/2014,36.7125
7/31/2014,14.853125
8/1/2014,36.18333333
8/2/2014,20.98020833
8/3/2014,11.956875
8/4/2014,10.0284375
8/5/2014,12.51395833
8/6/2014,17.73958333
8/7/2014,11.2721875
8/8/2014,10.99666667
8/9/2014,8.058333333
8/10/2014,17.2553125
8/11/2014,23.94583333
8/12/2014,9.533645833
8/13/2014,7.749791667
8/14/2014,5.940416667
8/15/2014,4.614166667
8/16/2014,17.06614583
8/17/2014,7.9178125
8/18/2014,11.24729167
8/19/2014,12.58447917
8/20/2014,7.902604167
8/21/2014,14.82979167
8/22/2014,11.55322917
8/23/2014,5.955520833
8/24/2014,6.929583333
8/25/2014,9.592083333
8/26/2014,7.831770833
8/27/2014,5.636979167
8/28/2014,4.223541667
8/29/2014,5.825729167
8/30/2014,5.770104167
8/31/2014,5.919270833
9/1/2014,10.12916667
9/2/2014,9.953229167
9/3/2014,9.0353125
9/4/2014,11.84833333
9/5/2014,36.45802083
9/6/2014,44.47395833
9/7/2014,232.590625
9/8/2014,356.2291667
9/9/2014,65.61458333
9/10/2014,36.246875
9/11/2014,25.16145833
9/12/2014,17.30729167
9/13/2014,29.18125
9/14/2014,31.834375
9/15/2014,19.309375
9/16/2014,15.71666667
9/17/2014,68.81354167
9/18/2014,1034.104167
9/19/2014,1285
9/20/2014,946.1770833
9/21/2014,298.5
9/22/2014,97.653125
9/23/2014,58.46458333
9/24/2014,37.66145833
9/25/2014,26.13645833
9/26/2014,26.34166667
9/27/2014,19.09270833
9/28/2014,14.378125
9/29/2014,12.99479167
9/30/2014,11.615625
10/1/2014,11.04166667
10/2/2014,12.19270833
10/3/2014,129.4239583
10/4/2014,40.10520833
10/5/2014,22.175
10/6/2014,19.65
10/7/2014,15.525
10/8/2014,14.64166667
10/9/2014,14.025
10/10/2014,13.28239583
10/11/2014,13.02958333
10/12/2014,15.47291667
10/13/2014,122.1010417
10/14/2014,91.25
10/15/2014,33.21666667
10/16/2014,20.54791667
10/17/2014,14.95
10/18/2014,11.15625
10/19/2014,13.33645833
10/20/2014,11.54875
10/21/2014,9.584270833
10/22/2014,10.3225
10/23/2014,10.108125
10/24/2014,7.665729167
10/25/2014,11.2284375
10/26/2014,8.537083333
10/27/2014,7.541145833
10/28/2014,6.479583333
10/29/2014,6.810729167
10/30/2014,6.684375
10/31/2014,5.991875
11/1/2014,4.848541667
11/2/2014,5.3769
11/3/2014,8.190208333
11/4/2014,5.563854167
11/5/2014,63.660625
11/6/2014,94.23333333
11/7/2014,36.45208333
11/8/2014,18.44479167
11/9/2014,10.86479167
11/10/2014,8.624166667
11/11/2014,5.615520833
11/12/2014,4.8784375
11/13/2014,14.29322917
11/14/2014,9.270208333
11/15/2014,5.3396875
11/16/2014,26.20041667
11/17/2014,19.55208333
11/18/2014,8.4653125
11/19/2014,5.870625
11/20/2014,5.294270833
11/21/2014,15.53583333
11/22/2014,23.103125
11/23/2014,161.1270833
11/24/2014,41.30520833
11/25/2014,21.153125
11/26/2014,12.93958333
11/27/2014,11.575
11/28/2014,7.746145833
11/29/2014,5.4209375
11/30/2014,5.1559375
12/1/2014,11.42979167
12/2/2014,13.30552083
12/3/2014,6.875104167
12/4/2014,6.081145833
12/5/2014,5.281770833
12/6/2014,4.825416667
12/7/2014,4.99125
12/8/2014,6.874583333
12/9/2014,6.385
12/10/2014,5.809583333
12/11/2014,8.045833333
12/12/2014,8.944375
12/13/2014,7.426458333
12/14/2014,7.036666667
12/15/2014,7.671979167
12/16/2014,7.969791667
12/17/2014,5.6325
12/18/2014,9.539583333
12/19/2014,574.6008333
12/20/2014,397.9270833
12/21/2014,138.5
12/22/2014,66.115625
12/23/2014,40.08333333
12/24/2014,26.62291667
12/25/2014,19.05833333
12/26/2014,12.42291667
12/27/2014,26.46458333
12/28/2014,229.3645833
12/29/2014,211.0208333
12/30/2014,114.4166667
12/31/2014,60.02708333
1/1/2015,43.00104167
1/2/2015,80.675
1/3/2015,356.6666667
1/4/2015,202.9895833
1/5/2015,107.2010417
1/6/2015,55.81458333
1/7/2015,37.66979167
1/8/2015,27.446875
1/9/2015,21.15729167
1/10/2015,17.92708333
1/11/2015,66.41979167
1/12/2015,73.19895833
1/13/2015,82.78020833
1/14/2015,53.66458333
1/15/2015,34.875
1/16/2015,25.98645833
1/17/2015,21.97708333
1/18/2015,19.87083333
1/19/2015,19.334375
1/20/2015,32.31979167
1/21/2015,26.60520833
1/22/2015,128.2395833
1/23/2015,155.4270833
1/24/2015,171.1458333
1/25/2015,87.27291667
1/26/2015,50.95520833
1/27/2015,37.81666667
1/28/2015,29.38333333
1/29/2015,25.36979167
1/30/2015,24.43020833
1/31/2015,19.69583333
2/1/2015,14.33229167
2/2/2015,22.66354167
2/3/2015,15.090625
2/4/2015,38.609375
2/5/2015,27.09791667
2/6/2015,18.32291667
2/7/2015,11.80145833
2/8/2015,11.11697917
2/9/2015,10.90708333
2/10/2015,9.206770833
2/11/2015,10.27510417
2/12/2015,7.993125
2/13/2015,7.626770833
2/14/2015,7.105208333
2/15/2015,7.403541667
2/16/2015,10.79020833
2/17/2015,15.73854167
2/18/2015,9.426458333
2/19/2015,6.516875
2/20/2015,6.727395833
2/21/2015,6.587291667
2/22/2015,7.315833333
2/23/2015,7.523541667
2/24/2015,6.053541667
2/25/2015,7.813854167
2/26/2015,9.914791667
2/27/2015,8.910833333
2/28/2015,6.949375
3/1/2015,14.75708333
3/2/2015,20.25208333
3/3/2015,9.8425
3/4/2015,8.0365625
3/5/2015,11.01947917
3/6/2015,10.24760417
3/7/2015,7.733854167
3/8/2015,179.4794565
3/9/2015,1078.15625
3/10/2015,1483.13253
3/11/2015,1347.1875
3/12/2015,1202.916667
3/13/2015,1038.5625
3/14/2015,801.9583333
3/15/2015,427.0416667
3/16/2015,182.4583333
3/17/2015,111.9197917
3/18/2015,85.83958333
3/19/2015,82.26666667
3/20/2015,64.48020833
3/21/2015,122.375
3/22/2015,391.4375
3/23/2015,485.75
3/24/2015,480.1875
3/25/2015,257.3645833
3/26/2015,105.0114583
3/27/2015,62.13854167
3/28/2015,44.00104167
3/29/2015,33.67916667
3/30/2015,27.45729167
3/31/2015,23.434375
4/1/2015,21.43229167
4/2/2015,19.39583333
4/3/2015,16.4
4/4/2015,16.79479167
4/5/2015,18.35833333
4/6/2015,16.25208333
4/7/2015,13.975
4/8/2015,12.37708333
4/9/2015,12.37708333
4/10/2015,26.2875
4/11/2015,39.146875
4/12/2015,49.384375
4/13/2015,69.63125
4/14/2015,50.640625
4/15/2015,33.16770833
4/16/2015,67.80416667
4/17/2015,685.3854167
4/18/2015,854.5104167
4/19/2015,832.0520833
4/20/2015,754.9479167
4/21/2015,613.84375
4/22/2015,349.7708333
4/23/2015,151.8020833
4/24/2015,96.14270833
4/25/2015,145.4864583
4/26/2015,147.2916667
4/27/2015,203.9270833
4/28/2015,318.1875
4/29/2015,296.5
4/30/2015,186.1145833
5/1/2015,79.74375
5/2/2015,52.85729167
5/3/2015,39.1125
5/4/2015,33.16666667
5/5/2015,25.675
5/6/2015,24.559375
5/7/2015,22.153125
5/8/2015,20.39583333
5/9/2015,20.12916667
5/10/2015,18.39791667
5/11/2015,22.23020833
5/12/2015,122.8572917
5/13/2015,431.6041667
5/14/2015,444.4166667
5/15/2015,503.5208333
5/16/2015,475.59375
5/17/2015,540.0833333
5/18/2015,650.5416667
5/19/2015,869.3645833
5/20/2015,965.5
5/21/2015,897.1263158
5/22/2015,833.4130435
5/23/2015,739.3655914
